"u_id","u_gender","u_age","u_weekly_utilisation","u_sub_utilisation","u_format_pref","u_genre_pref","u_rating_given","u_other_sub","u_plan","u_occupation","baseline_score","treated","treatment_score","total_score","resub"
26,2,4,0,0.02,3,7,0.37,0,1,3,23.1948740518729,0,0,23.1948740518729,0
27,2,1,4,0.02,2,1,4.48,0,2,1,938.694874051873,1,265.233666432088,1203.92854048396,1
28,1,3,4,0.11,3,3,4.46,0,1,3,699.394874051873,0,0,699.394874051873,1
29,1,4,2,0.71,1,6,4.36,0,2,3,692.394874051873,0,0,692.394874051873,1
30,2,2,2,0.58,1,1,2.81,1,1,3,632.994874051873,0,0,632.994874051873,1
31,2,2,4,0.34,3,6,1.67,1,1,4,654.794874051873,1,420.533177686204,1075.32805173808,1
32,1,3,5,0.28,2,3,2.69,1,1,2,692.994874051873,1,165.249742438031,858.244616489903,1
33,1,3,4,0.52,2,7,4.3,1,2,3,739.694874051873,1,143.494983490982,883.189857542855,1
34,1,1,4,0.35,1,4,2.92,0,1,1,953.594874051873,0,0,953.594874051873,1
35,1,2,4,0.73,1,3,2.68,0,2,2,900.994874051873,0,0,900.994874051873,1
36,2,4,7,0.72,1,2,3.39,1,1,3,1115.19487405187,1,131.074573672623,1246.2694477245,1
37,1,1,0,0.7,1,2,2.46,0,2,1,486.094874051873,0,0,486.094874051873,0
38,2,5,4,0.86,1,2,4.03,0,2,3,925.394874051873,1,28.694389659715,954.089263711588,1
39,2,4,0,0.85,1,2,2.97,0,1,3,361.094874051873,0,0,361.094874051873,0
40,1,2,6,0.03,3,7,3.96,1,1,4,958.994874051873,1,387.17338022567,1346.16825427754,1
41,2,3,2,0.95,2,7,2.98,0,1,2,504.594874051873,0,0,504.594874051873,1
42,2,3,6,0.53,1,5,3.51,1,1,2,981.494874051873,0,0,981.494874051873,1
43,1,3,7,0.35,1,7,2.36,1,1,4,1075.59487405187,0,0,1075.59487405187,1
44,2,4,2,0.01,2,3,2.62,0,2,3,414.394874051873,1,44.7449706100282,459.139844661901,1
45,1,3,3,0.98,2,2,2,1,2,4,629.494874051873,0,0,629.494874051873,1
46,2,3,1,0.6,3,2,1.13,1,2,4,306.594874051873,1,222.893265076263,529.488139128136,1
47,1,3,5,0.68,1,1,2.81,1,2,3,980.994874051873,0,0,980.994874051873,1
48,2,2,6,0.93,1,1,0.73,0,2,3,1139.49487405187,0,0,1139.49487405187,1
49,2,3,1,0.24,2,4,4.59,1,2,4,512.794874051873,0,0,512.794874051873,1
50,1,1,3,0.7,3,2,3.48,0,2,1,782.094874051873,1,204.163166069443,986.258040121316,1
51,1,2,2,0.66,1,2,1.32,0,2,2,593.894874051873,1,117.840042346009,711.734916397882,1
52,1,6,3,0.43,3,5,2.6,1,1,3,477.994874051873,0,0,477.994874051873,1
53,2,3,4,0.26,2,6,1.06,1,2,2,543.894874051873,1,148.358503892226,692.253377944099,1
54,2,2,0,0.76,1,2,0.28,1,2,2,269.894874051873,1,134.835080086065,404.729954137938,1
55,2,3,2,0.6,1,1,2.44,1,2,3,607.094874051873,0,0,607.094874051873,1
56,1,2,7,0.54,3,3,1,1,1,3,932.294874051873,0,0,932.294874051873,1
57,2,2,4,0.04,1,1,0.58,0,2,2,786.294874051873,1,186.629952825801,972.924826877674,1
58,1,2,2,0.84,3,5,1,0,2,2,501.294874051873,1,151.678185354951,652.973059406824,1
59,1,2,5,0.66,1,7,4.19,0,2,2,1082.39487405187,0,0,1082.39487405187,1
60,1,2,4,0.65,2,3,2.24,0,1,2,718.594874051873,0,0,718.594874051873,1
61,1,3,7,0.51,1,4,1.59,0,1,3,1132.89487405187,0,0,1132.89487405187,1
62,2,3,3,0.47,1,3,0.06,0,1,2,511.194874051873,0,0,511.194874051873,1
63,1,2,6,0.33,1,7,3.36,0,1,2,1062.99487405187,1,213.582358090426,1276.5772321423,1
64,1,2,3,0.45,1,5,3,1,2,2,710.594874051873,0,0,710.594874051873,1
65,2,1,7,0.33,1,2,2.91,0,1,1,1215.49487405187,0,0,1215.49487405187,1
66,2,4,2,0.85,1,2,0.81,0,1,3,483.094874051873,1,148.987896413157,632.08277046503,1
67,1,2,6,0.52,2,7,4.38,0,1,2,1038.69487405187,0,0,1038.69487405187,1
68,1,2,4,0.17,2,7,2.6,1,2,4,729.194874051873,0,0,729.194874051873,1
69,1,3,2,0,2,7,2.52,0,2,4,468.094874051873,0,0,468.094874051873,1
70,1,3,3,0.47,2,1,3.81,1,1,3,623.694874051873,1,244.3410008364,868.035874888273,1
71,2,3,1,0.17,2,6,0.12,1,2,2,140.194874051873,1,147.583752932945,287.778626984818,0
72,1,2,7,0.97,3,1,2.33,0,2,4,1299.69487405187,0,0,1299.69487405187,1
73,2,2,5,0.9,2,7,1.38,1,1,2,768.094874051873,1,289.492816367605,1057.58769041948,1
74,1,2,1,0.69,1,6,2.25,1,1,3,424.294874051873,1,286.737938172511,711.032812224384,1
75,1,3,1,0.31,1,1,4.23,0,1,4,608.894874051873,1,267.386899803648,876.281773855521,1
76,1,2,3,0.71,1,6,4.19,1,2,3,803.894874051873,0,0,803.894874051873,1
77,1,2,5,0.48,2,6,3.81,1,2,2,884.994874051873,1,231.937170053424,1116.9320441053,1
78,1,5,2,0,1,6,0.14,0,1,4,399.094874051873,1,291.089863284827,690.1847373367,1
79,1,3,0,0.5,2,2,4.15,1,1,3,219.594874051873,0,0,219.594874051873,0
80,1,3,0,0.08,2,4,4.66,0,2,3,375.494874051873,1,90.9939507940835,466.488824845956,1
81,1,1,5,0.43,3,6,0.57,1,2,1,776.494874051873,1,337.491618373421,1113.98649242529,1
82,1,2,0,0.2,2,6,2.42,1,1,4,214.094874051873,1,391.678190020488,605.773064072361,1
83,2,3,1,0.75,2,6,0.36,1,1,3,177.594874051873,1,258.982327415654,436.577201467527,0
84,1,2,5,0.09,2,6,4.52,1,2,3,869.794874051873,0,0,869.794874051873,1
85,2,3,1,0.63,1,6,1.7,1,2,4,438.994874051873,0,0,438.994874051873,1
86,1,3,3,0,1,2,0.22,0,2,3,508.094874051873,1,28.673802178952,536.768676230825,1
87,2,4,7,0.1,2,7,2.88,1,1,3,909.094874051873,0,0,909.094874051873,1
88,2,3,1,0.54,2,1,1.38,1,2,4,391.294874051873,1,261.92476220855,653.219636260422,1
89,1,3,4,0.01,3,3,0.57,1,1,2,436.894874051873,1,158.422476800178,595.317350852051,1
90,1,3,1,0.15,2,2,3.58,0,1,3,315.594874051873,0,0,315.594874051873,0
91,1,2,4,0.68,1,4,0.2,0,1,2,800.494874051873,0,0,800.494874051873,1
92,1,4,2,0.33,1,2,3.35,0,1,3,542.494874051873,1,119.383416862536,661.878290914409,1
93,2,2,7,0.75,1,1,0.62,1,2,2,1170.59487405187,0,0,1170.59487405187,1
94,2,2,0,0.04,1,6,4.36,1,1,2,330.294874051873,1,269.415395292172,599.710269344044,1
95,2,2,6,0.16,1,6,0.7,1,1,2,852.894874051873,0,0,852.894874051873,1
96,2,1,4,0.58,2,5,2.54,1,1,1,729.494874051873,0,0,729.494874051873,1
97,1,3,1,0.24,2,7,2.93,0,2,3,344.794874051873,1,123.217458562226,468.012332614099,1
98,2,2,2,0.12,1,3,2.92,0,1,3,553.694874051873,0,0,553.694874051873,1
99,1,4,0,0.4,1,2,4.16,0,2,4,472.094874051873,1,148.4648189946,620.559693046473,1
100,1,3,2,0.62,1,1,1.68,1,1,3,521.694874051873,1,227.541571065181,749.236445117054,1
101,2,3,4,0.24,1,1,4.42,1,1,2,839.294874051873,0,0,839.294874051873,1
102,1,3,7,0.7,1,1,2.23,1,1,4,1194.59487405187,1,299.566672346256,1494.16154639813,0
103,1,2,5,0.55,2,1,3.28,1,1,4,957.594874051873,0,0,957.594874051873,1
104,1,2,3,0.79,2,3,0.36,1,1,2,472.794874051873,0,0,472.794874051873,1
105,2,6,7,0.78,2,1,4.31,1,2,5,1258.99487405187,1,188.003476722676,1446.99835077455,1
106,2,1,3,0.73,2,2,2.52,1,1,1,632.994874051873,1,336.947498266863,969.942372318736,1
107,2,5,3,0.09,2,6,1.61,1,2,2,434.294874051873,1,154.1644181305,588.459292182373,1
108,1,2,4,0.6,3,1,4.13,0,1,3,886.594874051873,0,0,886.594874051873,1
109,2,4,3,0.47,2,5,4.59,0,2,3,687.694874051873,0,0,687.694874051873,1
110,1,2,4,0.23,1,5,2.56,0,1,4,839.994874051873,1,306.37868050201,1146.37355455388,1
111,1,4,1,0.92,2,1,1.27,1,2,4,435.194874051873,1,260.184912807858,695.379786859731,1
112,2,1,1,0.29,2,5,2.59,1,2,1,399.294874051873,1,329.868124912843,729.162998964715,1
113,1,3,6,0.55,2,3,4.2,1,1,3,918.594874051873,0,0,918.594874051873,1
114,1,2,4,0.27,2,5,2.42,1,1,2,623.194874051873,0,0,623.194874051873,1
115,1,4,2,0.93,1,6,0.85,1,2,4,550.494874051873,1,290.071771880133,840.566645932006,0
116,2,6,5,0.15,1,7,1.51,1,1,5,777.094874051873,1,192.700592152425,969.795466204298,1
117,1,3,1,0.37,1,3,1.14,0,2,2,372.194874051873,1,32.8603956728178,405.055269724691,1
118,2,4,3,0.09,2,5,4.88,0,1,4,662.794874051873,1,250.817611602404,913.612485654276,1
119,2,2,3,0.05,2,3,3.16,0,2,3,621.594874051873,0,0,621.594874051873,1
120,1,4,5,0.65,2,4,1.15,1,1,2,744.094874051873,0,0,744.094874051873,1
121,2,3,4,0.65,1,3,1.47,0,2,2,770.094874051873,0,0,770.094874051873,1
122,2,3,7,0.89,2,4,2.95,1,1,2,1095.29487405187,1,248.071385531485,1343.36625958336,1
123,1,3,0,0.46,2,4,1.71,0,2,2,277.394874051873,1,86.7549183896272,364.1497924415,0
124,1,2,1,0.87,2,2,4.88,0,1,2,534.194874051873,1,223.432133421938,757.627007473811,1
125,2,3,2,0.58,1,3,1.11,1,2,3,457.994874051873,1,106.193975307635,564.188849359508,1
126,1,3,7,0.22,1,1,0.66,0,2,2,1098.69487405187,1,115.572575043301,1214.26744909517,1
127,1,2,6,0.21,1,6,1.21,1,2,2,934.894874051873,1,225.282726469705,1160.17760052158,1
128,1,2,6,0.72,1,5,4.18,1,2,3,1149.69487405187,1,242.606282146277,1392.30115619815,1
129,2,1,3,0.51,1,2,1.31,1,1,1,643.894874051873,0,0,643.894874051873,1
130,1,5,2,0.32,2,3,0.45,0,1,4,356.194874051873,0,0,356.194874051873,0
131,2,1,1,0.2,3,1,0.18,0,1,1,352.094874051873,0,0,352.094874051873,0
132,1,3,6,0.08,2,7,4.67,0,1,2,935.994874051873,0,0,935.994874051873,1
133,1,4,7,0.34,3,4,3.95,0,2,3,1178.79487405187,0,0,1178.79487405187,1
134,1,3,6,0.12,2,4,0.94,1,1,3,779.694874051873,0,0,779.694874051873,1
135,2,3,7,0.76,1,3,4.22,1,2,3,1211.89487405187,0,0,1211.89487405187,1
136,2,3,3,0.74,1,7,2.44,1,2,2,660.294874051873,0,0,660.294874051873,1
137,1,4,4,0.82,2,5,3.7,1,1,3,698.694874051873,1,224.850818702792,923.545692754665,1
138,1,1,6,0.84,2,6,4.75,0,2,1,1208.79487405187,1,291.608408503147,1500.40328255502,1
139,1,3,4,0.16,1,4,0.39,0,2,4,792.394874051873,1,196.761317483209,989.156191535082,1
140,1,2,6,0.71,1,6,2.8,0,1,3,1084.39487405187,0,0,1084.39487405187,1
141,2,2,5,0.28,2,5,1.43,1,2,3,739.994874051873,0,0,739.994874051873,1
142,1,3,5,0.59,1,5,3.68,1,2,2,932.794874051873,0,0,932.794874051873,1
143,2,3,1,0.94,2,4,2.42,0,2,2,490.294874051873,1,97.7433318376535,588.038205889526,1
144,1,6,1,0,2,2,1.55,1,2,5,249.594874051873,0,0,249.594874051873,0
145,2,3,0,0.97,1,7,4.09,0,1,2,432.694874051873,1,121.186233323016,553.881107374889,1
146,2,1,6,0.77,2,6,3.86,1,2,1,1100.19487405187,0,0,1100.19487405187,1
147,1,2,3,0.12,2,2,1.69,0,2,2,557.194874051873,0,0,557.194874051873,1
148,1,2,5,0.31,1,7,0.1,1,1,2,727.394874051873,0,0,727.394874051873,1
149,2,3,0,0.36,2,3,0.55,1,2,2,71.3948740518729,1,76.2937187282076,147.688592780081,0
150,1,6,4,0.9,1,1,2.94,1,2,3,901.094874051873,0,0,901.094874051873,1
151,2,1,7,0.07,2,7,2.22,1,2,1,1042.19487405187,0,0,1042.19487405187,1
152,2,3,1,0.28,2,5,1.2,0,2,2,263.494874051873,0,0,263.494874051873,0
153,1,3,2,0.19,1,2,3.4,0,2,3,576.794874051873,1,33.2400711858827,610.034945237756,1
154,2,3,0,0.02,2,6,2.82,0,2,4,255.694874051873,1,173.868867648357,429.56374170023,1
155,1,3,2,0.27,2,2,4.42,0,1,3,488.194874051873,1,110.401307737791,598.596181789664,1
156,1,3,7,0.17,1,1,0.71,1,2,3,1039.69487405187,0,0,1039.69487405187,1
157,1,3,2,0.74,2,4,3.67,0,2,4,701.794874051873,0,0,701.794874051873,0
158,2,3,4,0.95,1,6,4.17,0,2,2,944.094874051873,0,0,944.094874051873,1
159,2,6,3,0.12,2,4,0.68,0,2,3,526.694874051873,1,89.7810247029983,616.475898754871,1
160,2,3,6,0.57,1,5,2.16,1,2,2,969.194874051873,1,151.968974390944,1121.16384844282,0
161,1,4,7,0.46,1,6,2.08,0,2,4,1180.89487405187,0,0,1180.89487405187,1
162,2,2,3,0.79,2,7,4.82,0,2,3,800.794874051873,1,186.373051004215,987.167925056088,1
163,2,2,4,0.89,1,7,3.5,1,2,2,907.794874051873,1,217.786666232035,1125.58154028391,1
164,2,2,2,0.21,1,7,1.1,1,1,4,479.394874051873,0,0,479.394874051873,1
165,1,4,3,0.24,3,5,2.45,1,2,3,495.794874051873,1,174.652585320505,670.447459372378,1
166,2,3,2,0.22,3,7,2.22,1,2,2,366.694874051873,1,144.146257971438,510.841132023311,1
167,1,4,7,0.11,2,3,2.9,1,2,4,1021.39487405187,1,191.568610543733,1212.96348459561,1
168,2,5,0,0.6,2,1,2.16,0,1,2,268.094874051873,1,123.104968231841,391.199842283713,1
169,2,4,2,0.76,1,7,3.09,0,1,3,585.394874051873,1,173.424477970695,758.819352022567,1
170,1,2,0,0.67,1,2,2.32,0,1,2,365.194874051873,0,0,365.194874051873,0
171,1,2,0,0.38,2,1,4.23,0,1,3,402.994874051873,1,221.95565093966,624.950524991533,1
172,2,4,5,0.58,1,4,2.85,0,2,3,1024.99487405187,0,0,1024.99487405187,0
173,2,4,6,0.65,2,2,0.83,1,1,2,763.094874051873,1,196.069531055139,959.164405107011,1
174,1,4,2,0.02,1,1,1.8,1,2,3,499.694874051873,1,118.559655195769,618.254529247642,1
175,1,5,4,0.03,3,5,2.88,1,1,4,614.994874051873,0,0,614.994874051873,1
176,2,2,0,0.88,1,6,0.65,0,2,2,358.994874051873,0,0,358.994874051873,0
177,1,3,0,0.14,1,2,2.22,0,2,3,281.294874051873,0,0,281.294874051873,0
178,2,3,5,0.89,2,5,3.09,0,1,2,847.294874051873,1,157.682169662671,1004.97704371454,1
179,2,2,6,0.92,1,5,3.21,0,1,3,1132.19487405187,0,0,1132.19487405187,1
180,1,2,5,0.36,2,7,4.47,0,1,2,907.394874051873,0,0,907.394874051873,1
181,2,3,1,0.45,2,1,1.2,1,2,2,310.594874051873,0,0,310.594874051873,0
182,1,3,2,0.58,3,2,4.76,0,1,3,545.494874051873,0,0,545.494874051873,1
183,1,2,7,0.16,2,7,0.98,1,1,2,881.894874051873,1,265.098424419794,1146.99329847167,1
184,1,2,2,0.18,1,1,3.31,0,2,3,710.994874051873,1,159.506621084615,870.501495136488,1
185,1,2,7,0.4,1,5,4.49,1,2,2,1238.59487405187,1,215.351190018886,1453.94606407076,1
186,1,2,1,0.68,1,2,1.04,0,1,2,417.494874051873,1,194.460817898671,611.955691950544,0
187,1,1,1,0.04,1,4,4.29,1,1,1,581.794874051873,1,366.133471772666,947.928345824539,1
188,1,4,7,0.21,1,7,1.22,1,1,3,940.394874051873,1,245.475561081612,1185.87043513348,1
189,2,4,2,0.67,3,4,0.76,0,1,3,437.194874051873,0,0,437.194874051873,1
190,1,3,2,0.85,1,7,3.12,0,1,3,598.594874051873,0,0,598.594874051873,1
191,1,3,7,0.76,1,5,2.23,1,1,4,1122.39487405187,0,0,1122.39487405187,1
192,2,3,6,0.02,2,4,4.07,0,1,3,978.194874051873,0,0,978.194874051873,1
193,1,3,0,0.5,1,5,4.57,0,2,4,505.594874051873,1,210.789664466401,716.384538518274,1
194,1,2,7,0.63,1,4,3.32,0,2,2,1344.99487405187,0,0,1344.99487405187,1
195,1,1,5,0.04,1,2,3.67,0,1,1,985.794874051873,1,283.656669725777,1269.45154377765,1
196,2,2,6,0.65,2,7,0.75,0,1,3,874.094874051873,1,221.220127833461,1095.31500188533,1
197,2,2,0,0.81,2,1,1.12,0,1,2,303.394874051873,1,228.902990549326,532.297864601199,1
198,1,3,2,0.59,1,3,4.12,1,2,2,609.794874051873,0,0,609.794874051873,1
199,2,1,6,0.71,1,7,0.48,1,1,1,973.394874051873,0,0,973.394874051873,1
200,1,4,6,0.79,2,4,3.68,0,1,2,1058.79487405187,1,137.566092403499,1196.36096645537,1
201,2,3,5,0.04,2,6,4.27,0,2,3,845.794874051873,1,86.8033533683791,932.598227420252,1
202,1,2,7,0.48,1,2,2.06,0,1,3,1132.49487405187,1,184.533559334595,1317.02843338647,1
203,2,4,3,0.73,1,2,3.06,0,2,3,744.994874051873,0,0,744.994874051873,1
204,1,1,3,0.66,1,4,4.38,0,2,1,1001.89487405187,1,288.255436854077,1290.15031090595,1
205,2,3,4,0.84,1,1,4.14,0,1,3,958.294874051873,0,0,958.294874051873,1
206,1,4,7,0.13,1,3,0.01,1,1,3,869.494874051873,0,0,869.494874051873,1
207,1,4,0,0.61,1,5,4.05,0,2,3,433.894874051873,0,0,433.894874051873,1
208,2,5,5,0.99,1,5,4.51,0,2,3,1081.29487405187,1,108.621302713792,1189.91617676567,1
209,2,3,3,0.06,1,7,1.31,1,2,4,575.394874051873,1,266.153375114691,841.548249166564,1
210,1,1,3,0.76,1,3,2.92,1,1,1,756.894874051873,1,337.105929151987,1094.00080320386,1
211,1,4,0,0.93,2,2,4.25,1,2,3,330.494874051873,0,0,330.494874051873,0
212,1,4,4,0.95,2,1,2.31,0,1,4,841.094874051873,0,0,841.094874051873,1
213,1,4,4,0.34,2,7,1.1,1,1,4,566.294874051873,1,326.157321217922,892.452195269795,1
214,1,2,6,0.62,2,4,3.19,0,2,4,1182.19487405187,1,291.47943663916,1473.67431069103,1
215,1,3,4,0.89,2,4,2.92,1,1,3,748.794874051873,0,0,748.794874051873,1
216,1,4,1,0.1,1,7,2.09,1,1,3,279.594874051873,1,221.197803622443,500.792677674316,1
217,2,1,2,0.26,2,6,3.97,0,2,1,634.394874051873,0,0,634.394874051873,1
218,1,2,3,0.18,2,1,2.91,0,2,3,705.994874051873,1,145.004234429459,850.999108481332,1
219,1,1,0,0.43,2,4,3.8,0,1,1,447.994874051873,0,0,447.994874051873,1
220,1,3,2,0.48,1,1,4.3,1,2,4,744.494874051873,0,0,744.494874051873,1
221,2,3,1,0.01,2,7,0.23,0,1,3,129.894874051873,1,197.410778995894,327.305653047766,0
222,1,4,0,0,3,2,1.69,1,1,3,31.5948740518729,1,152.384789514644,183.979663566517,0
223,2,1,0,0.69,1,7,0.85,1,2,1,349.294874051873,0,0,349.294874051873,0
224,2,4,0,0.51,1,3,1.12,0,2,3,274.394874051873,0,0,274.394874051873,0
225,2,3,5,0.92,2,5,4.99,1,2,3,941.194874051873,0,0,941.194874051873,1
226,1,3,5,0.68,1,4,0.2,0,1,4,915.494874051873,1,279.922529192571,1195.41740324444,1
227,1,2,4,0.14,2,5,2.23,0,1,3,651.794874051873,1,222.476582890412,874.271456942285,1
228,2,1,1,0.67,1,5,0.22,0,2,1,485.194874051873,1,248.766789711815,733.961663763688,1
229,1,1,4,0.97,2,5,0.93,1,1,1,699.694874051873,0,0,699.694874051873,1
230,2,2,2,0.05,1,3,1.24,1,2,2,455.594874051873,1,183.864790428301,639.459664480174,1
231,1,2,7,0.37,2,4,1.66,1,1,4,1083.19487405187,0,0,1083.19487405187,1
232,2,2,6,0.41,1,5,3.93,0,2,3,1151.89487405187,1,113.089875331027,1264.9847493829,1
233,1,1,5,0.1,3,7,3.81,1,1,1,845.594874051873,0,0,845.594874051873,1
234,1,3,4,0.46,1,3,3.99,1,1,2,766.394874051873,0,0,766.394874051873,1
235,1,4,1,0.15,2,5,0.3,1,1,3,96.5948740518729,0,0,96.5948740518729,0
236,2,3,2,0.19,2,4,2.26,0,1,3,449.794874051873,1,173.618274269504,623.413148321377,1
237,1,1,7,0.35,2,1,1.31,0,1,1,1118.09487405187,1,346.404626334393,1464.49950038627,1
238,2,2,6,0.81,1,5,0.9,1,2,4,1057.39487405187,0,0,1057.39487405187,1
239,2,1,2,0.46,1,5,2.05,1,2,1,609.394874051873,0,0,609.394874051873,1
240,1,4,1,0.85,1,5,0.7,0,1,3,362.594874051873,0,0,362.594874051873,0
241,2,3,4,0.67,1,7,3.58,0,2,3,878.194874051873,0,0,878.194874051873,1
242,1,2,5,0.79,1,2,2.12,1,2,4,1000.79487405187,0,0,1000.79487405187,1
243,1,2,0,0.36,3,6,2.64,1,1,2,185.894874051873,1,346.039032648632,531.933906700505,1
244,1,3,5,0.94,3,3,2.9,1,1,3,789.294874051873,1,145.547259967214,934.842134019087,1
245,1,2,5,0.8,2,4,2.07,1,1,3,869.594874051873,0,0,869.594874051873,1
246,2,4,5,0.37,1,3,0.47,0,1,3,748.694874051873,1,99.4392595308376,848.134133582711,1
247,1,3,3,0.76,1,5,3.94,0,2,4,852.894874051873,0,0,852.894874051873,1
248,1,1,5,0.36,1,2,4.6,1,1,1,1018.89487405187,0,0,1018.89487405187,1
249,1,4,7,0.99,2,3,2.51,1,2,3,1056.29487405187,1,99.5471708821535,1155.84204493403,1
250,1,4,3,0.59,1,3,1.98,0,2,2,672.794874051873,1,58.8824995563687,731.677373608242,1
251,2,3,7,0.05,1,2,1.43,1,1,2,930.094874051873,1,163.159278882338,1093.25415293421,1
252,1,1,6,0.07,2,4,1.34,0,1,1,968.194874051873,0,0,968.194874051873,1
253,1,2,2,0.54,2,3,2.75,0,1,3,499.794874051873,1,178.824166040472,678.619040092345,1
254,1,3,6,0.73,1,3,0.23,0,1,3,898.494874051873,0,0,898.494874051873,1
255,2,3,5,0.43,2,6,4.29,0,2,2,897.494874051873,0,0,897.494874051873,1
256,1,1,3,0.39,1,6,2.11,0,2,1,773.294874051873,0,0,773.294874051873,1
257,1,2,0,0.6,1,7,4.48,0,1,2,464.094874051873,1,228.406732729209,692.501606781082,1
258,1,2,0,0.1,2,7,3.39,1,2,3,239.594874051873,1,203.34616722979,442.941041281663,1
259,2,3,1,0.28,3,7,4.82,0,2,4,504.494874051873,1,217.454012693398,721.948886745271,1
260,1,1,1,0.75,1,3,3.26,0,2,1,647.594874051873,1,192.091137425529,839.686011477402,1
261,1,6,2,0.64,1,7,0.88,1,1,5,464.294874051873,1,186.072267928583,650.367141980456,1
262,1,3,2,0.29,1,3,1.07,0,2,4,533.294874051873,1,140.457242654287,673.752116706159,1
263,1,4,2,0.52,1,1,3.64,1,1,4,666.694874051873,0,0,666.694874051873,1
264,1,2,0,0.97,2,4,4.07,0,2,4,581.694874051873,1,265.243934753431,846.938808805304,1
265,1,3,2,0.41,1,6,2.58,1,2,2,509.394874051873,0,0,509.394874051873,1
266,1,2,2,0.57,2,2,0.71,0,1,2,401.694874051873,0,0,401.694874051873,1
267,1,3,0,0.72,1,6,1.31,0,1,3,261.194874051873,0,0,261.194874051873,0
268,1,2,5,0.39,1,3,2.03,0,2,4,999.294874051873,0,0,999.294874051873,1
269,1,3,7,0.05,1,3,2.77,1,2,4,1107.09487405187,1,221.05872393547,1328.15359798734,1
270,1,1,6,0.84,1,3,0.9,1,1,1,1011.29487405187,1,343.486888328488,1354.78176238036,1
271,1,3,0,0.92,1,4,1.17,0,1,3,360.194874051873,0,0,360.194874051873,0
272,2,5,0,0.56,1,7,0.9,0,1,3,219.894874051873,1,155.98448780094,375.879361852813,0
273,2,4,6,0.25,2,1,3.47,0,2,3,1028.09487405187,0,0,1028.09487405187,1
274,1,3,5,0.73,2,6,4.15,0,1,3,879.494874051873,1,180.794540435563,1060.28941448744,1
275,1,4,5,0.05,1,7,1.09,1,1,2,683.094874051873,1,232.115637649119,915.210511700992,0
276,1,5,1,0.68,1,7,3.07,0,2,3,508.994874051873,0,0,508.994874051873,1
277,1,4,6,0.12,2,7,4.29,0,2,4,1032.19487405187,1,215.414974846627,1247.6098488985,1
278,1,4,5,0.98,2,1,3.77,0,1,3,972.994874051873,1,149.060468696217,1122.05534274809,1
279,2,1,0,0.01,1,4,1.43,1,2,1,369.894874051873,1,356.001760779848,725.896634831721,1
280,2,3,5,0.48,2,2,1.19,1,1,3,643.994874051873,1,180.758878896242,824.753752948114,1
281,1,3,5,0.63,3,2,3.3,0,2,2,873.994874051873,1,78.6438721893576,952.63874624123,1
282,1,5,4,0.03,2,7,1.52,1,2,3,536.994874051873,0,0,536.994874051873,1
